,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
C19orf33,975.695.632.146,180.692.151.894.828,47.988.400.597.714,376.532.973.894.187,166.329.432.967.461,116.858.525.319.718,FALSE
CYP2W1,62.722.218.040.456,180.257.400.045.796,435.142.827.760.317,414.248.813.369.122,"3,44E+09",373.614.344.321.164,FALSE
COL1A1,333919.09.00,180.166.487.124.319,331.697.054.379.574,543.165.773.543.914,"5,58E+05","2,41E+09",FALSE
CBLC,830.213.690.559.729,179.296.281.513.383,485.256.299.745.104,369.487.797.701.057,219.992.411.391.033,141.676.673.165.693,FALSE
GBP1P1,280.634.244.670.482,17.915.096.741.024,540.536.503.442.924,331.431.765.050.364,918.670.783.546.421,385.311.318.706.387,FALSE
TGFBI,234.043.423.136.832,178.982.507.891.425,484.631.100.228.712,369.317.007.940.593,221.475.789.282.012,14.212.797.912.193,FALSE
C2orf80,280.155.348.051.537,-177.798.473.864.754,492.065.517.814.167,-361.330.894.825.882,302.314.130.402.103,178.838.010.496.176,FALSE
CA9,649.678.803.126.719,177.792.931.622.826,449.469.322.652.009,395.561.883.008.594,"7,63E+09",666.515.615.027.517,FALSE
LTBR,114.849.662.606.389,177.656.154.397.527,348.316.715.601.497,510.042.000.398.225,"3,39E+06","9,36E+09",FALSE
CNGA3,260.646.844.577.831,-177.042.374.082.811,508.028.830.876.596,-348.488.832.370.648,492.342.480.782.719,255.469.479.814.142,FALSE
BGN,830.369.457.252.213,175.888.345.491.093,398.407.501.699.613,441.478.498.122.526,"1,01E+07",15.497.925.329.467,FALSE
ARHGAP22,238.945.740.086.545,175.352.462.076.551,538.731.156.771.543,32.549.159.236.935,113.425.939.045.166,435.502.849.682.718,FALSE
GRB7,530.240.539.739.021,172.932.425.631.561,462.648.602.676.278,373.787.848.123.178,185.579.599.026.591,124.762.556.724.684,FALSE
LDLRAD1,270.110.280.424.579,171.410.926.673.951,515.290.631.526.882,332.649.025.979.834,879.470.934.590.787,373.327.810.416.342,FALSE
LRG1,507.675.541.888.195,170.987.209.541.978,360.240.516.616.342,474.647.358.237.274,"2,07E+08",413.100.374.298.729,FALSE
RAC2,258.611.933.856.866,16.925.228.926.716,304.221.867.211.391,556.344.916.355.252,"2,64E+06","1,37E+09",FALSE
BFSP1,120.806.828.135.458,168.466.295.669.224,491.656.885.207.739,342.650.130.076.063,611.410.833.402.957,295.314.684.718.912,FALSE
HPN,106.735.528.140.994,167.770.446.911.496,402.428.456.886.274,416.895.087.911.011,"3,06E+09",340.942.049.750.385,FALSE
CRISPLD2,518.928.929.512.103,167.193.448.953.872,290.454.130.562.605,575.627.720.046.609,"8,60E+05","5,38E+08",FALSE
DUSP2,439.253.604.610.904,167.058.090.006.799,295.421.331.723.426,565.490.951.625.659,"1,56E+06","8,58E+08",FALSE
NMRK2,456.958.350.179.271,16.479.295.314.253,379.683.856.208.409,434.026.757.914.287,"1,42E+09",200.777.185.080.113,FALSE
PRMT8,179.735.473.843.746,-16.254.238.956.636,373.968.687.180.049,-434.641.709.689.728,"1,38E+09",197.882.425.784.459,FALSE
GPRC5A,199.865.379.676.522,160.974.715.388.406,322.574.233.847.431,49.903.153.599.225,"6,03E+07",141.505.392.639.498,FALSE
MSLN,105.147.350.160.888,159.175.930.043.459,422.865.766.619.292,376.421.887.531.901,167.070.502.785.527,116.858.525.319.718,FALSE
KLK8,110.753.351.382.635,158.744.865.552.958,425.266.384.627.997,37.328.336.142.021,189.337.672.894.989,126.417.701.376.688,FALSE
TMEM119,142.668.962.138.952,158.698.551.130.155,464.616.610.321.754,341.568.828.157.594,636.210.300.749.563,298.726.654.974.119,FALSE
SLC5A10,321.907.830.277.971,157.442.791.374.659,390.670.496.563.461,403.006.607.254.981,"5,58E+09",524.704.006.425.675,FALSE
GBP1,151.064.500.081.619,157.162.193.796.254,376.039.561.263.988,417.940.583.878.945,"2,92E+09",331.746.648.699.812,FALSE
GALNT6,238.786.436.855.672,156.908.657.520.331,302.193.021.348.292,519.233.226.565.767,"2,08E+07","6,83E+09",FALSE
HCP5,483.332.164.947.683,156.537.008.085.404,465.682.759.842.631,336.145.164.872.117,775.339.300.186.683,336.864.522.265.319,FALSE
GJA3,102.703.919.910.079,155.885.367.872.905,485.413.887.597.663,321.139.077.096.433,132.094.176.593.143,479.302.167.924.715,FALSE
PTPRQ,665.065.070.955.032,155.497.303.217.398,453.799.723.220.173,3.426.562.319.474,611.273.476.262.457,295.314.684.718.912,FALSE
MCHR1,63.370.805.819.284,-155.457.048.165.768,435.142.807.240.856,-357.255.240.300.275,353.518.711.670.334,20.098.852.747.479,FALSE
SPDYE6,688.189.002.031.782,-155.025.861.250.657,406.941.508.180.927,-380.953.670.574.524,139.227.436.670.947,103.265.269.249.846,FALSE
EN2,489.447.843.107.456,-154.446.734.303.012,373.867.361.937.919,-41.310.568.941.468,"3,61E+09",383.504.232.080.222,FALSE
THCAT155,296.438.639.946.205,-153.393.346.134.236,403.327.083.886.993,-380.319.974.190.512,142.839.093.894.561,104.600.838.073.352,FALSE
ST8SIA3,739.338.669.327.032,-153.232.637.958.294,364.962.488.356.067,-41.985.859.601.219,"2,69E+08",310.688.320.261.701,FALSE
STRIP2,819.431.332.116.319,152.813.362.190.175,391.979.678.029.286,38.985.021.610.931,"9,68E+09",778.138.687.747.394,FALSE
CRB3,264.298.475.584.252,151.817.812.784.942,37.952.586.620.311,400.019.672.713.675,"6,33E+09",583.455.296.985.169,FALSE
SPINT1,555.457.223.189.569,151.379.891.872,303.181.498.606.098,49.930.451.748.534,"5,94E+07",141.505.392.639.498,FALSE
KDR,876.397.616.942.577,150.717.360.091.605,355.940.141.852.783,423.434.567.697.457,"2,29E+09",280.253.686.399.116,FALSE
AQP5,415.914.253.686.166,149.069.081.898.946,430.166.537.689.433,346.538.070.347.464,529.481.374.724.108,265.632.907.358.136,FALSE
LINC00092,154.594.333.757.309,-148.886.097.640.202,385.215.591.987.327,-38.650.070.437.725,111.085.993.769.475,86.355.091.516.777,FALSE
MEDAG,21.567.996.517.501,148.683.264.047.361,462.560.515.217.597,321.435.269.885.538,130.738.975.001.347,476.777.213.855.314,FALSE
ESRP2,136.070.598.570.829,147.619.360.836.601,433.566.946.593.541,340.476.510.020.933,662.209.896.526.876,303.696.816.434.965,FALSE
ONECUT2,292.493.165.741.813,-146.921.761.854.108,402.316.706.567.728,-365.189.313.433.035,260.314.214.720.227,159.177.321.667.813,FALSE
CITED1,172.334.316.395.659,-146.753.328.196.302,388.063.143.944.385,-378.168.683.335.033,15.576.924.758.828,111.546.029.081.564,FALSE
POU3F2,334.603.247.144.455,-146.527.708.771.935,42.906.315.521.682,-341.506.155.889.545,637.675.981.844.914,298.726.654.974.119,FALSE
SCN1A,812.196.948.975.133,-146.511.555.364.663,353.611.819.945.215,-414.328.783.996.423,"3,42E+09",373.614.344.321.164,FALSE
CNPY1,256.682.256.256.124,-146.049.721.357.318,360.387.434.441.124,-405.257.529.535.698,"5,07E+09",48.935.116.692.291,FALSE
ACP5,349.411.595.793.241,145.603.600.456.156,384.310.909.162.336,37.886.928.782.095,151.441.992.598.853,10.914.039.792.015,FALSE
USH1C,107.362.836.247.705,144.870.543.693.547,446.756.618.601.216,324.271.734.679.909,118.395.604.904.408,447.023.405.544.482,FALSE
CSF3R,653.234.601.479.104,143.853.187.775.346,422.677.540.234.631,340.337.903.205.105,665.578.783.901.595,30.447.295.451.982,FALSE
ABCC8,458.875.744.573.676,-143.680.383.934.643,406.548.808.197.845,-353.414.844.755.175,409.091.245.023.327,224.456.377.669.748,FALSE
ERBB3,880.111.200.205.053,143.121.033.000.365,401.396.030.031.475,356.558.167.725.631,363.050.070.261.346,203.647.912.752.748,FALSE
TMEM45B,63.958.462.795.779,142.089.756.174.376,441.612.940.162.947,321.751.794.958.606,129.304.935.912.036,472.496.366.418.205,FALSE
SOX1,842.374.841.705.984,-141.681.284.251.804,349.867.757.865.871,-404.956.675.962.466,"5,13E+09",493.061.912.631.103,FALSE
CPNE9,822.426.947.056.069,-14.069.546.000.637,433.414.367.917.448,-324.621.125.696.432,116.952.018.066.676,44.405.373.774.196,FALSE
PTGER2,503.842.087.725.443,139.882.458.904.768,398.607.251.528.892,35.092.803.346.712,449.321.042.971.998,24.142.365.270.457,FALSE
MFAP5,92.857.708.617.076,139.021.107.448.623,428.290.442.343.054,32.459.540.000.024,117.057.752.233.221,44.405.373.774.196,FALSE
MCOLN2,83.712.018.039.749,138.029.117.085.144,403.281.979.641.231,342.264.529.667.153,620.149.441.064.695,296.382.473.662.524,FALSE
LINC00403,13.824.503.621.434,-137.108.297.965.538,344.483.975.585.971,-398.010.670.111.186,"6,89E+09",619.311.161.954.527,FALSE
CLEC18B,131.949.917.779.742,-137.102.630.423.785,412.167.756.283.286,-332.637.932.816.738,879.821.060.834.726,373.327.810.416.342,FALSE
CDH1,587.007.296.136.947,13.673.821.383.921,421.354.143.901.502,32.452.087.114.438,117.364.569.195.606,44.405.373.774.196,FALSE
PLA2G4C,598.652.756.550.439,-136.061.106.341.027,362.786.494.873.645,-375.044.573.774.489,176.520.502.561.297,121.431.395.720.292,FALSE
PLAUR,165.493.536.481.502,136.032.323.897.114,411.730.464.108.581,330.391.690.086.938,95.344.089.273.346,396.234.326.154.059,FALSE
SCG3,255.005.805.598.417,-135.506.021.229.066,316.584.119.458.715,-428.025.326.920.218,"1,87E+09",247.219.856.840.365,FALSE
PEAR1,641.500.627.566.586,135.058.959.780.532,317.619.059.067.428,425.223.096.425.898,"2,12E+09",268.797.288.093.102,FALSE
MYRF,579.572.865.033.313,133.891.975.155.981,364.004.275.265.442,367.830.776.323.557,234.786.552.105.987,147.033.054.234.373,FALSE
